OTU_ID	Kingdom	Phylum	Class	Order	Family	Genus	Species
e78d28b0c959b6e035caad98e3288205	Bacteria	 Cyanobacteria	 Cyanobacteriia	 Chloroplast	 Chloroplast	 Chloroplast	
70f645cff25d516b459fd1355622b37d	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rickettsiales	 Mitochondria	 Mitochondria	
f4801b7a68515d9005fa572ee6afdf41	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Burkholderiales	 Burkholderiaceae	 Ralstonia	
b01f65c3da02d1690cbbb45a210380d5	Bacteria	 Bacteroidota	 Bacteroidia	 Chitinophagales	 Chitinophagaceae		
42e9464e281f53ba8a4f84d59d523431	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhizobiales	 Rhizobiaceae		
e9c5c7f40dc0d24681936be2db1c8467	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Burkholderiales	 Burkholderiaceae	 Burkholderia-Caballeronia-Paraburkholderia	
9a41b197d813aac073ee1beb4e7c3abe	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rickettsiales	 Mitochondria	 Mitochondria	
8ae518dbb29595b3f79214be0b589066	Bacteria	 Firmicutes	 Bacilli	 Lactobacillales	 Listeriaceae	 Listeria	
a4cbe987942964b584e95e4efab6a176	Bacteria	 Firmicutes	 Bacilli	 Bacillales	 Bacillaceae	 Bacillus	
65d43491988bfe557da4d86a5ba25dae	Bacteria	 Firmicutes	 Bacilli	 Staphylococcales	 Staphylococcaceae	 Staphylococcus	
43fddf1528d4a98928fd8c3a8ac23bfd	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Pseudomonadales	 Pseudomonadaceae	 Pseudomonas	
4cbfff144d4e7a4e0f4619ed505be070	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Enterobacterales	 Enterobacteriaceae		
d46e2205f0c6ecf67b51f83d111c509c	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Enterobacterales	 Enterobacteriaceae	 Escherichia-Shigella	
9ce6b8e7eb3cde25b160056bc05b2900	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Burkholderiales	 Hydrogenophilaceae	 uncultured	
9908fffab7ed4f3bec44cda2f5084d49	Bacteria	 Firmicutes	 Bacilli	 Lactobacillales	 Enterococcaceae	 Enterococcus	
84a431ef83fe2174eaa9945018c814e2	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rickettsiales	 Mitochondria	 Mitochondria	
9ac3bb1d7dedb08a012692a6f536b5af	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Sphingomonadales	 Sphingomonadaceae	 Sphingomonas	
ff9d93d7b7e46787568f2d241caeaf3b	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Pseudomonadales	 Pseudomonadaceae	 Pseudomonas	
581a55014641e1cd55cdc272c0365a28	Bacteria	 Firmicutes	 Bacilli	 Lactobacillales	 Lactobacillaceae	 Lactobacillus	 Lactobacillus_fermentum
9891414d5dc7851561dac7a1724f2e6c	Bacteria	 Cyanobacteria	 Cyanobacteriia	 Chloroplast	 Chloroplast	 Chloroplast	
2ab07cf4ecdfd56d3ca63e6bc5edcb99	Bacteria	 Bacteroidota	 Bacteroidia				
bbc5bc0bc35db15b8ac5c2db647664f8	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rickettsiales	 Mitochondria	 Mitochondria	 Botryosphaeria_dothidea
790ddf2713debc45adefe114f4749769	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Burkholderiales	 Rhodocyclaceae	 Denitratisoma	
dcfbef40bef2d993f2a321db4b6e12d9	Bacteria	 Bacteroidota	 Bacteroidia	 Sphingobacteriales	 env.OPS_17	 env.OPS_17	 uncultured_bacterium
